Agency,Type,Distribution,Product,Duration,Destination,Sales,Commision,Age,Claim
JZI,Airlines,Online,Basic Plan,3,THAILAND,18.0,6.3,35,No
CSR,Travel Agency,Offline,Comprehensive Plan,54,THAILAND,29.0,9.57,59,No
JZI,Airlines,Online,Basic Plan,1,HONG KONG,22.0,7.7,68,No
JZI,Airlines,Online,Value Plan,4,HONG KONG,36.0,12.6,40,No
C2B,Airlines,Online,Silver Plan,62,SINGAPORE,63.5,15.88,31,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,21.0,5.25,28,Yes
JZI,Airlines,Online,Basic Plan,0,VIET NAM,18.0,6.3,58,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,39.0,9.75,29,No
JZI,Airlines,Online,Basic Plan,38,SRI LANKA,22.0,7.7,50,No
RAB,Airlines,Online,Value Plan,23,BRUNEI DARUSSALAM,23.0,9.2,38,No
JZI,Airlines,Online,Basic Plan,27,JAPAN,22.0,7.7,36,No
C2B,Airlines,Online,Silver Plan,25,SINGAPORE,33.5,8.38,31,No
C2B,Airlines,Online,Bronze Plan,105,SINGAPORE,16.0,4.0,30,No
JZI,Airlines,Online,Basic Plan,0,MYANMAR,18.0,6.3,26,No
JZI,Airlines,Online,Basic Plan,56,CHINA,35.0,12.25,47,No
C2B,Airlines,Online,Gold Plan,16,SINGAPORE,63.7,15.93,25,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,34.5,8.63,28,No
ART,Airlines,Online,Value Plan,28,INDIA,40.0,14.0,47,No
JZI,Airlines,Online,Basic Plan,30,HONG KONG,26.0,9.1,67,No
JZI,Airlines,Online,Basic Plan,38,CHINA,22.0,7.7,53,No
JZI,Airlines,Online,Value Plan,10,AUSTRALIA,45.0,15.75,41,No
JZI,Airlines,Online,Basic Plan,10,CHINA,22.0,7.7,43,No
JZI,Airlines,Online,Basic Plan,34,THAILAND,18.0,6.3,42,No
JZI,Airlines,Online,Basic Plan,93,"KOREA, REPUBLIC OF",35.0,12.25,25,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,23.5,5.88,32,No
JZI,Airlines,Online,Basic Plan,2,THAILAND,18.0,6.3,30,No
JZI,Airlines,Online,Basic Plan,8,CHINA,22.0,7.7,49,No
JZI,Airlines,Online,Basic Plan,75,PHILIPPINES,18.0,6.3,49,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,18.5,4.63,20,No
C2B,Airlines,Online,Silver Plan,20,SINGAPORE,62.0,15.5,36,No
ART,Airlines,Online,24 Protect,49,VIET NAM,2.72,0.95,48,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,53.5,13.38,35,No
JZI,Airlines,Online,Basic Plan,9,THAILAND,22.0,7.7,69,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,30.0,10.5,61,No
JZI,Airlines,Online,Basic Plan,87,THAILAND,22.0,7.7,56,No
ART,Airlines,Online,24 Protect,24,CAMBODIA,7.55,2.64,48,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,38.35,9.59,25,No
JZI,Airlines,Online,Basic Plan,62,AUSTRALIA,50.0,17.5,62,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,13.5,3.38,36,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,18.0,6.3,38,No
JZI,Airlines,Online,Basic Plan,72,THAILAND,18.0,6.3,31,No
C2B,Airlines,Online,Silver Plan,17,SINGAPORE,49.5,12.38,58,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27.0,6.75,22,Yes
JZI,Airlines,Online,Basic Plan,17,VIET NAM,18.0,6.3,66,No
JZI,Airlines,Online,Basic Plan,60,AUSTRALIA,50.0,17.5,60,No
JZI,Airlines,Online,Basic Plan,48,HONG KONG,22.0,7.7,34,No
RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15.0,6.0,30,No
JZI,Airlines,Online,Basic Plan,110,CHINA,26.0,9.1,38,No
C2B,Airlines,Online,Gold Plan,5,SINGAPORE,66.3,16.57,42,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,40,No
JZI,Airlines,Online,Basic Plan,41,HONG KONG,35.0,12.25,25,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,17.0,4.25,64,No
TST,Travel Agency,Offline,Travel Cruise Protect,6,THAILAND,30.0,10.5,43,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,39.0,9.75,29,No
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,67.0,16.75,27,No
RAB,Airlines,Online,Value Plan,10,BRUNEI DARUSSALAM,15.0,6.0,24,No
JZI,Airlines,Online,Basic Plan,16,CHINA,35.0,12.25,58,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,60.0,15.0,40,No
TST,Travel Agency,Offline,Travel Cruise Protect,47,THAILAND,30.0,10.5,71,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,17.0,4.25,25,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,40.2,10.05,24,No
JZI,Airlines,Online,Basic Plan,10,CHINA,26.0,9.1,39,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,7,THAILAND,31.0,20.15,39,No
JZI,Airlines,Online,Basic Plan,94,INDONESIA,33.0,11.55,43,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,20.25,5.06,49,No
C2B,Airlines,Online,Silver Plan,33,SINGAPORE,33.5,8.38,21,No
C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,13.5,3.38,36,No
JZI,Airlines,Online,Basic Plan,34,CHINA,22.0,7.7,31,No
RAB,Airlines,Online,Value Plan,13,BRUNEI DARUSSALAM,15.0,6.0,50,No
JZI,Airlines,Online,Basic Plan,6,VIET NAM,22.0,7.7,65,No
C2B,Airlines,Online,Bronze Plan,57,SINGAPORE,27.0,6.75,43,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,30,No
C2B,Airlines,Online,Silver Plan,40,SINGAPORE,39.0,9.75,41,No
JZI,Airlines,Online,Basic Plan,15,THAILAND,30.0,10.5,33,No
JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,55,No
JZI,Airlines,Online,Basic Plan,24,AUSTRALIA,26.0,9.1,48,No
C2B,Airlines,Online,Gold Plan,21,SINGAPORE,42.5,10.63,51,No
JZI,Airlines,Online,Basic Plan,1,INDONESIA,18.0,6.3,33,No
JZI,Airlines,Online,Value Plan,26,JAPAN,45.0,15.75,32,No
JZI,Airlines,Online,Basic Plan,27,HONG KONG,44.0,15.4,33,No
JZI,Airlines,Online,Basic Plan,4,THAILAND,18.0,6.3,46,No
JZI,Airlines,Online,Basic Plan,18,THAILAND,22.0,7.7,57,No
RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15.0,6.0,30,No
JZI,Airlines,Online,Basic Plan,50,VIET NAM,42.0,14.7,23,No
JZI,Airlines,Online,Basic Plan,8,THAILAND,22.0,7.7,56,No
JZI,Airlines,Online,Basic Plan,23,INDIA,22.0,7.7,45,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,43.55,10.89,42,No
TST,Travel Agency,Offline,Travel Cruise Protect,10,THAILAND,30.0,10.5,35,No
JZI,Airlines,Online,Basic Plan,78,MYANMAR,37.0,12.95,25,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,38.35,9.59,32,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.4,5.85,52,No
JZI,Airlines,Online,Basic Plan,16,MALAYSIA,18.0,6.3,35,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,13.5,3.38,27,No
JZI,Airlines,Online,Basic Plan,1,INDONESIA,18.0,6.3,37,No
C2B,Airlines,Online,Bronze Plan,100,SINGAPORE,11.5,2.88,51,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,53.0,13.25,37,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,37.0,9.25,39,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,24,No
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,22.5,5.63,36,No
C2B,Airlines,Online,Bronze Plan,48,SINGAPORE,50.5,12.63,36,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.4,5.85,31,No
JZI,Airlines,Online,Basic Plan,14,MALAYSIA,22.0,7.7,40,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,65,Yes
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,20.0,5.0,44,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,23,No
TST,Travel Agency,Offline,Travel Cruise Protect,10,THAILAND,30.0,10.5,64,No
RAB,Airlines,Online,Value Plan,62,BRUNEI DARUSSALAM,15.0,6.0,25,No
KML,Travel Agency,Online,Premier Plan,12,INDONESIA,29.0,11.02,48,No
RAB,Airlines,Online,Value Plan,31,BRUNEI DARUSSALAM,15.0,6.0,31,No
JZI,Airlines,Online,Basic Plan,16,PHILIPPINES,18.0,6.3,48,No
JZI,Airlines,Online,Basic Plan,59,HONG KONG,40.0,14.0,44,No
TST,Travel Agency,Offline,Travel Cruise Protect,29,THAILAND,30.0,10.5,38,No
JZI,Airlines,Online,Basic Plan,8,MALAYSIA,18.0,6.3,34,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,35.5,8.88,25,No
JZI,Airlines,Online,Basic Plan,4,THAILAND,18.0,6.3,64,No
RAB,Airlines,Online,Value Plan,10,BRUNEI DARUSSALAM,23.0,9.2,32,No
JZI,Airlines,Online,Basic Plan,12,BANGLADESH,22.0,7.7,31,No
JZI,Airlines,Online,Basic Plan,21,CHINA,22.0,7.7,55,No
JZI,Airlines,Online,Basic Plan,15,CHINA,40.0,14.0,42,No
JZI,Airlines,Online,Basic Plan,15,PHILIPPINES,30.0,10.5,27,No
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,58.2,14.55,36,No
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,22.0,7.7,40,No
JZI,Airlines,Online,Basic Plan,40,HONG KONG,35.0,12.25,47,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,20,No
JZI,Airlines,Online,Basic Plan,70,HONG KONG,26.0,9.1,49,No
JZI,Airlines,Online,Basic Plan,56,INDONESIA,0.0,10.5,40,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,20.25,5.06,62,No
JZI,Airlines,Online,Basic Plan,6,MALAYSIA,18.0,6.3,50,No
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,15,No
JZI,Airlines,Online,Value Plan,75,JAPAN,58.0,20.3,39,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,23.5,5.88,52,No
JZI,Airlines,Online,Basic Plan,5,HONG KONG,26.0,9.1,40,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,58.1,14.53,45,No
JZI,Airlines,Online,Basic Plan,79,JAPAN,50.0,17.5,24,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,51,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,17.0,4.25,32,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,32,Yes
C2B,Airlines,Online,Gold Plan,16,SINGAPORE,0.0,13.2,59,No
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,27.0,6.75,14,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,36,No
JZI,Airlines,Online,Basic Plan,9,MALAYSIA,18.0,6.3,45,No
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,40.0,10.0,46,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,47.0,11.75,25,No
JZI,Airlines,Online,Basic Plan,115,INDONESIA,22.0,7.7,61,No
JZI,Airlines,Online,Value Plan,7,THAILAND,26.0,9.1,44,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,23.5,5.88,26,No
RAB,Airlines,Online,Value Plan,11,BRUNEI DARUSSALAM,15.0,6.0,30,No
JZI,Airlines,Online,Basic Plan,85,THAILAND,30.0,10.5,19,No
C2B,Airlines,Online,Gold Plan,52,SINGAPORE,35.1,8.78,75,No
C2B,Airlines,Online,Bronze Plan,47,SINGAPORE,32.5,8.13,37,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,35.5,8.88,37,No
C2B,Airlines,Online,Silver Plan,116,SINGAPORE,41.5,10.38,34,No
C2B,Airlines,Online,Bronze Plan,68,SINGAPORE,47.0,11.75,35,No
JZI,Airlines,Online,Basic Plan,5,THAILAND,22.0,7.7,67,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,47.5,11.88,43,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,33.5,8.38,34,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,0.0,10.38,37,No
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,48.5,12.13,28,Yes
JZI,Airlines,Online,Basic Plan,36,HONG KONG,26.0,9.1,43,No
JZI,Airlines,Online,Value Plan,41,"KOREA, REPUBLIC OF",45.0,15.75,54,No
JZI,Airlines,Online,Value Plan,12,CHINA,36.0,12.6,36,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,57.0,14.25,32,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,27.0,6.75,22,No
JZI,Airlines,Online,Value Plan,122,IRELAND,49.0,17.15,22,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,37.05,9.26,31,No
JZI,Airlines,Online,Basic Plan,33,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,30,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,20.0,5.0,57,No
TST,Travel Agency,Offline,Travel Cruise Protect,21,THAILAND,30.0,10.5,31,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,21.0,5.25,31,No
JZI,Airlines,Online,Basic Plan,72,JAPAN,35.0,12.25,33,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,0.0,6.63,34,No
JZI,Airlines,Online,Value Plan,14,"KOREA, REPUBLIC OF",58.0,20.3,42,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,30.55,7.64,60,No
JZI,Airlines,Online,Basic Plan,8,MALAYSIA,18.0,6.3,60,No
C2B,Airlines,Online,Silver Plan,70,SINGAPORE,22.5,5.63,26,No
JZI,Airlines,Online,Basic Plan,12,BAHRAIN,36.0,12.6,47,No
JZI,Airlines,Online,Basic Plan,45,PHILIPPINES,30.0,10.5,55,No
JZI,Airlines,Online,Basic Plan,9,VIET NAM,22.0,7.7,45,No
ART,Airlines,Online,24 Protect,6,UNITED ARAB EMIRATES,22.3,7.8,48,No
JZI,Airlines,Online,Basic Plan,8,INDIA,22.0,7.7,47,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,41,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,31,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,33.5,8.38,35,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,47,No
JZI,Airlines,Online,Basic Plan,23,CHINA,56.0,19.6,40,No
JZI,Airlines,Online,Basic Plan,9,HONG KONG,26.0,9.1,56,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,24,No
C2B,Airlines,Online,Bronze Plan,105,SINGAPORE,13.5,3.38,62,No
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,33.5,8.38,24,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,20.0,5.0,32,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,30.55,7.64,24,No
JZI,Airlines,Online,Basic Plan,8,CHINA,26.0,9.1,47,No
JZI,Airlines,Online,Basic Plan,50,PHILIPPINES,18.0,6.3,52,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,23.0,5.75,35,No
JZI,Airlines,Online,Basic Plan,18,HONG KONG,26.0,9.1,35,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,16.0,4.0,44,No
JZI,Airlines,Online,Basic Plan,27,CHINA,56.0,19.6,31,No
JZI,Airlines,Online,Basic Plan,43,JAPAN,40.0,14.0,33,No
JZI,Airlines,Online,Basic Plan,7,INDONESIA,30.0,10.5,33,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,32,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,26.5,6.63,48,No
JZI,Airlines,Online,Value Plan,7,HONG KONG,45.0,15.75,55,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.5,5.88,52,Yes
TST,Travel Agency,Offline,Travel Cruise Protect,36,MALAYSIA,30.0,10.5,46,No
JZI,Airlines,Online,Basic Plan,40,CHINA,22.0,7.7,37,No
JZI,Airlines,Online,Basic Plan,16,HONG KONG,40.0,14.0,68,No
JZI,Airlines,Online,Basic Plan,49,INDONESIA,18.0,6.3,31,No
JZI,Airlines,Online,Basic Plan,24,AUSTRALIA,26.0,9.1,51,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,18.0,4.5,31,No
JZI,Airlines,Online,Basic Plan,7,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,39,No
C2B,Airlines,Online,Gold Plan,4,SINGAPORE,27.0,6.75,15,No
JZI,Airlines,Online,Basic Plan,9,CHINA,35.0,12.25,14,No
TST,Travel Agency,Offline,Travel Cruise Protect,8,THAILAND,30.0,10.5,44,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,23.0,5.75,53,No
JZI,Airlines,Online,Basic Plan,13,CHINA,26.0,9.1,54,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,39.0,9.75,23,No
C2B,Airlines,Online,Bronze Plan,78,SINGAPORE,44.85,11.21,26,No
C2B,Airlines,Online,Gold Plan,11,SINGAPORE,42.5,10.63,51,No
C2B,Airlines,Online,Silver Plan,36,SINGAPORE,63.5,15.88,21,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,29.5,7.38,33,No
JZI,Airlines,Online,Basic Plan,32,HONG KONG,26.0,9.1,45,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,17.55,4.39,61,No
KML,Travel Agency,Online,Value Plan,28,INDONESIA,22.0,8.36,48,No
JZI,Airlines,Online,Basic Plan,41,CHINA,35.0,12.25,19,No
JZI,Airlines,Online,Basic Plan,19,PHILIPPINES,37.0,12.95,33,No
JZI,Airlines,Online,Basic Plan,2,MACAO,22.0,7.7,61,No
TST,Travel Agency,Offline,Travel Cruise Protect,15,MALAYSIA,30.0,10.5,56,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,16.0,4.0,30,No
C2B,Airlines,Online,Bronze Plan,89,SINGAPORE,33.5,8.38,22,Yes
JZI,Airlines,Online,Basic Plan,30,CHINA,35.0,12.25,45,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,0.0,11.7,27,No
JZI,Airlines,Online,Basic Plan,24,CHINA,35.0,12.25,64,No
RAB,Airlines,Online,Value Plan,7,BRUNEI DARUSSALAM,15.0,6.0,69,Yes
TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30.0,10.5,44,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,17.5,4.38,44,No
JZI,Airlines,Online,Basic Plan,12,INDONESIA,22.0,7.7,29,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,84,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,13.5,3.38,41,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,19.2,4.8,23,No
JZI,Airlines,Online,Basic Plan,47,INDONESIA,30.0,10.5,41,No
JZI,Airlines,Online,Basic Plan,15,CHINA,26.0,9.1,67,No
C2B,Airlines,Online,Silver Plan,104,SINGAPORE,42.0,10.5,43,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,29,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,42,No
JZI,Airlines,Online,Basic Plan,11,VIET NAM,30.0,10.5,20,No
JZI,Airlines,Online,Basic Plan,58,MYANMAR,33.0,11.55,48,No
JZI,Airlines,Online,Basic Plan,9,CAMBODIA,22.0,7.7,42,No
JZI,Airlines,Online,Basic Plan,41,THAILAND,30.0,10.5,56,No
JZI,Airlines,Online,Basic Plan,28,THAILAND,22.0,7.7,31,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,23.4,5.85,40,No
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,29,No
JZI,Airlines,Online,Value Plan,24,CHINA,58.0,20.3,33,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,0.0,11.75,50,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,60.0,15.0,26,No
JZI,Airlines,Online,Basic Plan,55,JAPAN,35.0,12.25,28,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,11.5,2.88,45,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,30.0,7.5,32,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,20.0,5.0,54,No
TST,Travel Agency,Offline,Travel Cruise Protect,5,THAILAND,30.0,10.5,26,No
JZI,Airlines,Online,Basic Plan,14,THAILAND,30.0,10.5,57,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,29.5,7.38,32,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,39.0,9.75,34,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,13.5,3.38,37,Yes
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,60.0,15.0,64,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,22.0,7.7,34,No
JZI,Airlines,Online,Basic Plan,5,JAPAN,22.0,7.7,47,No
ART,Airlines,Online,24 Protect,18,PHILIPPINES,4.98,1.74,48,No
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,29.0,7.25,32,No
C2B,Airlines,Online,Bronze Plan,47,SINGAPORE,33.5,8.38,27,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,29,No
JZI,Airlines,Online,Basic Plan,57,CHINA,35.0,12.25,54,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,31,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,0.0,5.25,23,No
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,45.5,11.38,35,No
C2B,Airlines,Online,Silver Plan,48,SINGAPORE,18.5,4.63,33,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,47.0,11.75,41,Yes
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,32.4,8.1,53,No
JZI,Airlines,Online,Basic Plan,85,"KOREA, REPUBLIC OF",35.0,12.25,23,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,16.0,4.0,23,No
C2B,Airlines,Online,Silver Plan,45,SINGAPORE,29.5,7.38,32,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,22.5,5.63,66,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,60.0,15.0,50,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,13.5,3.38,23,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,39,No
ART,Airlines,Online,24 Protect,5,HONG KONG,56.15,19.65,48,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,23,No
C2B,Airlines,Online,Bronze Plan,44,SINGAPORE,47.0,11.75,30,No
JZI,Airlines,Online,Basic Plan,11,MALAYSIA,18.0,6.3,72,No
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,46,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,63.5,15.88,52,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,50.25,12.56,41,No
C2B,Airlines,Online,Silver Plan,22,SINGAPORE,18.5,4.63,29,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,30.55,7.64,33,No
JZI,Airlines,Online,Basic Plan,36,CHINA,35.0,12.25,48,No
RAB,Airlines,Online,Value Plan,17,BRUNEI DARUSSALAM,23.0,9.2,60,No
JZI,Airlines,Online,Basic Plan,3,HONG KONG,22.0,7.7,59,Yes
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,47,No
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,63.5,15.88,35,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,22.5,5.63,32,No
JZI,Airlines,Online,Basic Plan,8,MALAYSIA,18.0,6.3,36,No
C2B,Airlines,Online,Silver Plan,22,SINGAPORE,29.5,7.38,49,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,34,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,32,No
JZI,Airlines,Online,Value Plan,11,INDIA,58.0,20.3,41,No
JZI,Airlines,Online,Basic Plan,9,INDONESIA,30.0,10.5,48,No
JZI,Airlines,Online,Basic Plan,50,"KOREA, REPUBLIC OF",35.0,12.25,53,No
JZI,Airlines,Online,Basic Plan,10,INDONESIA,22.0,7.7,36,No
JZI,Airlines,Online,Basic Plan,20,THAILAND,22.0,7.7,39,No
JZI,Airlines,Online,Basic Plan,25,CHINA,35.0,12.25,50,Yes
JZI,Airlines,Online,Basic Plan,47,CHINA,22.0,7.7,51,No
JZI,Airlines,Online,Value Plan,5,CHINA,45.0,15.75,34,No
JZI,Airlines,Online,Basic Plan,8,VIET NAM,18.0,6.3,48,No
JZI,Airlines,Online,Basic Plan,29,VIET NAM,22.0,7.7,47,No
JZI,Airlines,Online,Value Plan,45,"KOREA, REPUBLIC OF",58.0,20.3,40,No
JZI,Airlines,Online,Basic Plan,29,CHINA,26.0,9.1,65,No
JZI,Airlines,Online,Basic Plan,43,UNITED ARAB EMIRATES,49.0,17.15,27,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.2,4.05,35,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,0.0,17.71,50,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,20.0,5.0,30,No
C2B,Airlines,Online,Gold Plan,17,SINGAPORE,40.2,10.05,32,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,39,No
JZI,Airlines,Online,Basic Plan,18,CHINA,26.0,9.1,61,No
TST,Travel Agency,Offline,Travel Cruise Protect,64,THAILAND,30.0,10.5,39,No
JZI,Airlines,Online,Basic Plan,17,MALAYSIA,18.0,6.3,37,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,33.5,8.38,42,No
JZI,Airlines,Online,Basic Plan,70,UNITED KINGDOM,49.0,17.15,26,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,27.0,6.75,36,No
TST,Travel Agency,Offline,Travel Cruise Protect,40,THAILAND,30.0,10.5,55,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.55,4.39,24,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,56,No
JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,48,No
TST,Travel Agency,Offline,Travel Cruise Protect,17,MALAYSIA,30.0,10.5,25,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,33.5,8.38,24,Yes
JZI,Airlines,Online,Basic Plan,84,PHILIPPINES,37.0,12.95,39,No
JZI,Airlines,Online,Basic Plan,7,CHINA,22.0,7.7,64,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,60.75,15.19,33,No
